0,1,2,3,4,5,6
3/1/2020,12:06:57,C021K13101,1180227,109B1L,10.06,"0,955"
3/1/2020,21:19:00,C021K13102,1180227,109B1L,10.052,"0,955"
4/1/2020,13:34:55,C021K14101,1180227,109B1L,10.04,"0,955"
4/1/2020,17:30:46,C021K14102,1180227,109B1M,10.027999999999999,"0,955"
4/1/2020,23:05:04,C021K14103,1180227,109B1M,10.067,"0,955"
5/1/2020,04:22:18,C021K15101,1180227,109B1M,10.08,"0,956"
5/1/2020,09:46:24,C021K15102,1180227,109B1M,10.073,"0,955"
6/1/2020,09:15:37,C021K16103,1180227,109B1L,10.062000000000001,"0,956"
6/1/2020,12:49:38,C021K16105,1180227,109B1L,10.073,"0,955"
6/1/2020,16:32:28,C021K16106,1180223,109B1M,10.09,"0,955"
6/1/2020,19:54:16,C021K16108,1180223/1180227,109B1M,10.061,"0,955"
6/1/2020,23:27:07,C021K16109,1180227/1180223,109B1L,10.062000000000001,"0,955"
7/1/2020,04:41:02,C021K17101,1180223,109B1L,10.03,"0,955"
7/1/2020,07:55:38,C021K17102,1180223,109B1L,10.06,"0,956"
7/1/2020,11:14:26,C021K17103,1180223,109B1L,10.055,"0,956"
7/1/2020,15:29:14,C021K17106,1180223,109B1M,10.02,"0,955"
7/1/2020,20:16:17,C021K17108,1180223,109B1M,10.0,"0,955"
8/1/2020,00:21:13,C021K18101,1180223,109B1M,9.981,"0,956"
8/1/2020,05:52:24,C021K18102,1180223,109B1M,9.976,"0,954"
8/1/2020,09:26:49,C021K18103,1180223,109B1M,10.001,"0,956"
8/1/2020,14:56:15,C021K18104,1180223,109B1M,10.052999999999999,"0,955"
8/1/2020,18:40:07,C021K18105,1180223,109B1M,10.061,"0,955"
8/1/2020,22:58:59,C021K18108,1180223,109B1M,10.055,"0,955"
9/1/2020,04:25:16,C021K19101,1180223,109B1M,10.056000000000001,"0,954"
9/1/2020,07:52:24,C021K19102,1180223,109B1M,10.04,"0,956"
9/1/2020,11:01:07,C021K19103,1180223,109B1M,10.04,"0,961"
10/1/2020,00:53:45,C021K1A101,1180223,109B1L,10.75,"0,965"
10/1/2020,18:48:48,C021K1A104,1180223,109B1L,10.032,"0,955"
11/1/2020,00:31:50,C021K1B101,1180223,109B1L,10.033999999999999,"0,955"
11/1/2020,05:31:16,C021K1B102,1180223,109B1L,10.04,"0,955"
11/1/2020,10:29:25,C021K1B106,1180223,109B1L,10.041,"0,955"
11/1/2020,14:52:39,C021K1B107,1180223,109B1L,10.065,"0,955"
11/1/2020,18:51:18,C021K1B109,1180223,109B1L,10.059,"0,955"
11/1/2020,22:09:14,C021K1B110,1180223,109B1L,10.062000000000001,"0,955"
12/1/2020,02:18:56,C021K1C101,1180223,109B1L,10.073,"0,956"
12/1/2020,05:50:59,C021K1C102,1180223,109B1L,10.04,"0,955"
12/1/2020,09:58:08,C021K1C103,1180223,109B1L,10.02,"0,955"
12/1/2020,14:08:55,C021K1C104,1180223,109B1L,9.997,"0,955"
12/1/2020,18:08:43,C021K1C105,1180223,109B1L,9.99,"0,955"
13/1/2020,08:02:31,C021K1D102,1180223,109B1M,10.01,"0,955"
13/1/2020,14:56:46,C021K1D103,1180223,109B1M,10.001,"0,955"
13/1/2020,20:19:48,C021K1D104,1180223,109B1M,10.002,"0,955"
14/1/2020,00:01:14,C021K1E101,1180223,109B1M,10.004,"0,955"
14/1/2020,08:55:25,C021K1E102,1180223,109B1M,9.993,"0,955"
14/1/2020,15:08:11,C021K1E104,1180223,109B1M,10.024,"0,955"
14/1/2020,19:59:50,C021K1E106,1180223,109B1M,10.003,"0,955"
15/1/2020,00:37:27,C021K1F101,1180223,109B1M,10.009,"0,955"
15/1/2020,05:48:33,C021K1F102,1180223,109B1M,10.011000000000001,"0,955"
15/1/2020,11:11:21,C021K1F103,1180223,109B1M,10.01,"0,955"
15/1/2020,17:06:16,C021K1F104,1180223,109B1M,10.052,"0,955"
15/1/2020,23:07:59,C021K1F105,1180223,109B1M,9.982999999999999,"0,955"
16/1/2020,03:19:04,C021K1G101,1180223,109B1M,10.01,"0,955"
16/1/2020,07:51:39,C021K1G103,1180223,109B1M,10.012,"0,955"
16/1/2020,13:02:29,C021K1G104,1180223,109B1M,9.99,"0,955"
16/1/2020,17:55:14,C021K1G106,1180223,109B1M,10.012,"0,954"
16/1/2020,23:14:37,C021K1G109,1180223,109B1M,10.01,"0,955"
17/1/2020,05:03:37,C021K1H101,1180223,109B1M,10.02,"0,955"
17/1/2020,11:28:14,C021K1H103,1180223,109B1M,10.04,"0,955"
17/1/2020,16:33:12,C021K1H105,1180223,109B1M,10.014,"0,955"
17/1/2020,21:19:26,C021K1H107,1180223,109B1M,10.0,"0,955"
18/1/2020,00:53:08,C021K1I101,1180223,109B1M,10.01,"0,955"
18/1/2020,08:54:27,C021K1I103,1180223,109B1M,10.02,"0,955"
18/1/2020,14:52:57,C021K1I106,1180223,109B1M,9.993,"0,955"
18/1/2020,19:49:51,C021K1I107,1180223,109B1M,10.01,"0,955"
18/1/2020,23:18:37,C021K1I109,1180223,109B1M,10.003,"0,955"
19/1/2020,03:38:23,C021K1J101,1180223,109B1M,10.001,"0,955"
20/1/2020,05:59:42,C021K1K101,1180223,109B1M,9.999,"0,955"
